Offset(P),Proto,Local Address,Foreign Address,State,Pid,Owner,Created
0x8c88b333f780,TCPv4,0.0.0.0:47001,0.0.0.0:0,LISTENING,4,System,2018-08-30 13:52:24 UTC+0000
0x8c88b333f780,TCPv6,:::47001,:::0,LISTENING,4,System,2018-08-30 13:52:24 UTC+0000
0x8c88b33622f0,TCPv4,0.0.0.0:5985,0.0.0.0:0,LISTENING,4,System,2018-08-30 13:52:24 UTC+0000
0x8c88b33622f0,TCPv6,:::5985,:::0,LISTENING,4,System,2018-08-30 13:52:24 UTC+0000
0x8c88b37e7970,TCPv4,172.16.6.11:63828,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:35:31 UTC+0000
0x8c88b3943010,TCPv4,172.16.6.11:63958,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:46:44 UTC+0000
0x8c88b3d49010,UDPv4,172.16.6.11:1900,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88b3d81ec0,UDPv6,::1:51200,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88b3f32300,UDPv4,0.0.0.0:8082,*:*,,2228,macmnsvc.exe,2018-08-30 13:52:49 UTC+0000
0x8c88b3f32300,UDPv6,:::8082,*:*,,2228,macmnsvc.exe,2018-08-30 13:52:49 UTC+0000
0x8c88b4248580,UDPv4,0.0.0.0:0,*:*,,4016,mfefire.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b4248580,UDPv6,:::0,*:*,,4016,mfefire.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b3d746e0,TCPv4,0.0.0.0:49718,0.0.0.0:0,LISTENING,772,lsass.exe,2018-08-30 13:52:51 UTC+0000
0x8c88b3d81d70,TCPv4,0.0.0.0:49713,0.0.0.0:0,LISTENING,1868,svchost.exe,2018-08-30 13:52:28 UTC+0000
0x8c88b3d9b720,TCPv4,0.0.0.0:49713,0.0.0.0:0,LISTENING,1868,svchost.exe,2018-08-30 13:52:28 UTC+0000
0x8c88b3d9b720,TCPv6,:::49713,:::0,LISTENING,1868,svchost.exe,2018-08-30 13:52:28 UTC+0000
0x8c88b3e12a10,TCPv4,0.0.0.0:49719,0.0.0.0:0,LISTENING,740,services.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b3e12a10,TCPv6,:::49719,:::0,LISTENING,740,services.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b3ecf4f0,TCPv4,0.0.0.0:49719,0.0.0.0:0,LISTENING,740,services.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b3f525c0,TCPv4,0.0.0.0:8081,0.0.0.0:0,LISTENING,2228,macmnsvc.exe,2018-08-30 13:52:49 UTC+0000
0x8c88b3f7b570,TCPv4,0.0.0.0:8081,0.0.0.0:0,LISTENING,2228,macmnsvc.exe,2018-08-30 13:52:49 UTC+0000
0x8c88b3f7b570,TCPv6,:::8081,:::0,LISTENING,2228,macmnsvc.exe,2018-08-30 13:52:49 UTC+0000
0x8c88b43de560,TCPv4,0.0.0.0:49718,0.0.0.0:0,LISTENING,772,lsass.exe,2018-08-30 13:52:51 UTC+0000
0x8c88b43de560,TCPv6,:::49718,:::0,LISTENING,772,lsass.exe,2018-08-30 13:52:51 UTC+0000
