TreeDepth,PID,Process,Args
0,5064,ApplicationFra,"C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding"
0,9036,WinStore.App.e,"""C:\Program Files\WindowsApps\Microsoft.WindowsStore_11807.1001.13.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca"
0,4860,RuntimeBroker.,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,5556,SystemSettings,"""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel"
0,6988,RuntimeBroker.,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,8712,powershell.exe,Required memory at 0x1b4cd723000 is inaccessible (swapped)
0,1740,conhost.exe,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
0,5848,powershell.exe,"""c:\windows\syswow64\windowspowershell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile"
0,6572,conhost.exe,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
0,6768,rundll32.exe,Required memory at 0xc90020 is not valid (process exited?)
0,8840,WmiPrvSE.exe,"C:\WINDOWS\sysWOW64\wbem\wmiprvse.exe -Embedding"
0,4936,WmiPrvSE.exe,"C:\WINDOWS\system32\wbem\wmiprvse.exe"
0,8500,LogonUI.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa33aa055 /state1:0x41c64e6d"
0,5452,rundll32.exe,Required memory at 0xedbafb9020 is not valid (process exited?)
0,5588,rundll32.exe,Required memory at 0x28bcfcc020 is not valid (process exited?)
0,5948,cmd.exe,"C:\WINDOWS\system32\cmd.exe /C c:\windows\temp\perfmon\p.exe"
0,3436,conhost.exe,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
0,8260,p.exe,"c:\windows\temp\perfmon\p.exe"
0,2216,rundll32.exe,Required memory at 0x44d020 is not valid (process exited?)
0,4108,rundll32.exe,Required memory at 0xbd4a388020 is not valid (process exited?)
0,8148,rundll32.exe,Required memory at 0xa4c020 is not valid (process exited?)
0,7792,svchost.exe,Required memory at 0x30ef5ec020 is not valid (process exited?)
0,4976,SettingSyncHos,"C:\WINDOWS\system32\SettingSyncHost.exe -Embedding"
0,8200,smss.exe,Required memory at 0x5ca7a29020 is not valid (process exited?)
0,4048,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,6440,winlogon.exe,winlogon.exe
0,5560,LogonUI.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa29c0055 /state1:0x41c64e6d"
0,2408,dwm.exe,"""dwm.exe"""
0,3424,fontdrvhost.ex,"""fontdrvhost.exe"""
0,6192,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
0,5768,rundll32.exe,Required memory at 0x8099fcb020 is not valid (process exited?)
0,11948,WmiPrvSE.exe,"C:\WINDOWS\system32\wbem\wmiprvse.exe"
0,1424,rundll32.exe,Required memory at 0x1cba805020 is not valid (process exited?)
0,7552,rundll32.exe,Required memory at 0x4288ea2020 is not valid (process exited?)
0,1096,subject_srv.ex,"C:\windows\subject_srv.exe -s ""base-hunt.shieldbase.lan:5682"" -l 3262 -v ""F-Response Subject"" -k ""155522845"""
0,6952,WmiApSrv.exe,"C:\WINDOWS\system32\wbem\WmiApSrv.exe"

